평점,판매자,구매자,날짜,제목,본문,이미지URL
5,SK하이닉스공식대리점 도우,targ****,2023-05-27,배송이 빠르게 와서 좋았네요.크기가 작고 색상도 괜찮게 보이네요.보호 케이스가 있어서 좀더 안전하게 사용할 수 있을 듯...,"배송이 빠르게 와서 좋았네요.
크기가 작고 색상도 괜찮게 보이네요.
보호 케이스가 있어서 좀더 안전하게 사용할 수 있을 듯...","['https://phinf.pstatic.net/checkout/20230527_21/1685162823968czQrt_JPEG/IMG_2014.jpg', 'https://phinf.pstatic.net/checkout/20230527_226/1685163086724gIsot_JPEG/IMG_2016.jpg']"
5,SK하이닉스공식대리점 도우,chik****,2023-05-27,배송도 완전 빠르고 손 안에 쏙 들어가고 무게감도 엄청 가벼우며 넘 깜찍한 사이즈예요..,배송도 완전 빠르고 손 안에 쏙 들어가고 무게감도 엄청 가벼우며 넘 깜찍한 사이즈예요..,['https://phinf.pstatic.net/checkout/20230527_102/16851691996033wUe4_JPEG/IMG_1134.jpeg']
5,SK하이닉스공식대리점 도우,ibug****,2023-05-27,외장 SSD는 처음인데 USB랑 차원이틀린 속도~~~,외장 SSD는 처음인데 USB랑 차원이틀린 속도~~~,[]
5,SK하이닉스공식대리점 도우,food****,2023-05-27,생각보다 작고 케이블도 2개나 둬서 좋아요,생각보다 작고 케이블도 2개나 둬서 좋아요,['https://phinf.pstatic.net/checkout/20230527_40/1685165801820Ih5Fw_JPEG/1685165796692.jpg']
5,SK하이닉스공식대리점 도우,wjde****,2023-05-27,케이스 있고 상태 좋고굿,케이스 있고 상태 좋고굿,['https://phinf.pstatic.net/checkout/20230527_184/1685157662991D4C90_JPEG/1685157650489.jpg']
5,SK하이닉스공식대리점 도우,stur****,2023-05-26,속도 완전 빠르면서 크기는 작아서 휴대하기 펀합니다. 보다 더 큰 용량도 나오면 좋겠어요,속도 완전 빠르면서 크기는 작아서 휴대하기 펀합니다. 보다 더 큰 용량도 나오면 좋겠어요,[]
5,SK하이닉스공식대리점 도우,ehdg****,2023-05-26,잇섭님 영상보고 샀는데 너무 빠르고 좋아요 hhd쓰다가 ssd로 넘어오니 신세계네여,잇섭님 영상보고 샀는데 너무 빠르고 좋아요 hhd쓰다가 ssd로 넘어오니 신세계네여,['https://phinf.pstatic.net/checkout/20230526_122/1685071453745GGP3C_JPEG/IMG_6333.jpeg']
5,SK하이닉스공식대리점 도우,acwz****,2023-05-26,고무 커버가 앞뒤옆면이 틀려서 잘못끼우면 케이블이 접속이ㅜ안됨 ㅋㅋ,고무 커버가 앞뒤옆면이 틀려서 잘못끼우면 케이블이 접속이ㅜ안됨 ㅋㅋ,[]
4,SK하이닉스공식대리점 도우,seou****,2023-05-26,가볍고 작아서 휴대가 편리합니다.,가볍고 작아서 휴대가 편리합니다.,[]
5,SK하이닉스공식대리점 도우,nois****,2023-05-26,예상했던 것 만큼 만족했습니다.,예상했던 것 만큼 만족했습니다.,['https://phinf.pstatic.net/checkout/20230526_193/16850676464715IxXH_JPEG/KakaoTalk_Photo_2023-05-26-11-19-11.jpeg']
5,SK하이닉스공식대리점 도우,rokl****,2023-05-26,빠르고 좋네요 사이즈도 작고,빠르고 좋네요 사이즈도 작고,[]
5,SK하이닉스공식대리점 도우,7600****,2023-05-26,빠른배송 대만족합니다,빠른배송 대만족합니다,[]
5,SK하이닉스공식대리점 도우,twoz****,2023-05-26,작고 성능도 좋아요,작고 성능도 좋아요,[]
5,SK하이닉스공식대리점 도우,drea****,2023-05-26,배송이 빠릅니다...,배송이 빠릅니다...,[]
5,SK하이닉스공식대리점 도우,4412****,2023-05-26,아쉬운 부분이 없는 적절하고 적절한 SSD인것 같습니다.짱!,"아쉬운 부분이 없는 적절하고 적절한 SSD인것 같습니다.
짱!",['https://phinf.pstatic.net/checkout/20230526_112/16850628841422TN36_JPEG/IMG_3569.jpeg']
5,SK하이닉스공식대리점 도우,rlad****,2023-05-26,우체국 배송이라 배송아주빠르고전송속도 빠르고 크기도 일반마우스보다 작아서 들고다니기도 좋아요,"우체국 배송이라 배송아주빠르고
전송속도 빠르고 크기도 일반마우스보다 작아서
들고다니기도 좋아요",[]
4,SK하이닉스공식대리점 도우,chun****,2023-05-25,남편이 구입한건데 외부미팅시 사용할려고 구입했어요USB대용으로 1테라짜리를 작고 가볍게 휴대하기 좋아서 아주 만족스럽다고 남펴니가 그러네요,남편이 구입한건데 외부미팅시 사용할려고 구입했어요USB대용으로 1테라짜리를 작고 가볍게 휴대하기 좋아서 아주 만족스럽다고 남펴니가 그러네요,['https://phinf.pstatic.net/checkout/20230525_80/1685001262380wQ1pY_JPEG/KakaoTalk_20230525_165059602.jpg']
4,SK하이닉스공식대리점 도우,momo****,2023-05-25,"크기가 작고 디자인이 이쁩니다. 파우치가 없는게 조금 아쉽지만 범퍼가 있어서 나름 괜찮습니다. 다만, 파일 몇개 옮기다보니 발열이 조금 심하긴 합니다. 발열관리하는게 조금 문제겠네","크기가 작고 디자인이 이쁩니다. 파우치가 없는게 조금 아쉽지만 범퍼가 있어서 나름 괜찮습니다. 다만, 파일 몇개 옮기다보니 발열이 조금 심하긴 합니다. 발열관리하는게 조금 문제겠네요.",['https://phinf.pstatic.net/checkout/20230525_219/16849973713208nt92_JPEG/KakaoTalk_20230525_154748741.jpg']
5,SK하이닉스공식대리점 도우,toto****,2023-05-25,좋아요. 하이닉스에서 처음 나온 외장 ssd 오래 사용하고 싶습니다!,좋아요. 하이닉스에서 처음 나온 외장 ssd 오래 사용하고 싶습니다!,[]
5,SK하이닉스공식대리점 도우,slip****,2023-05-25,속도도 잘나오고 크기나 사용성 다 만족합니다,속도도 잘나오고 크기나 사용성 다 만족합니다,[]
5,SK하이닉스공식대리점 도우,jang****,2023-05-25,크기가 작고 속도도 빠릅니다.,크기가 작고 속도도 빠릅니다.,[]
5,SK하이닉스공식대리점 도우,ha2h****,2023-05-25,제품 속도 빠르고 좋습니다.,제품 속도 빠르고 좋습니다.,[]
5,SK하이닉스공식대리점 도우,jung****,2023-05-25,잘 사용하고 있습니다,잘 사용하고 있습니다,['https://phinf.pstatic.net/checkout/20230525_113/1685003579409S9Wc8_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,0324****,2023-05-25,작고 빠르고 온도도 착하고 좋습니다. 케이스는 덤 ㅎㅎㅎ,작고 빠르고 온도도 착하고 좋습니다. 케이스는 덤 ㅎㅎㅎ,[]
5,SK하이닉스공식대리점 도우,ehdr****,2023-05-25,배송이 엄청 빠르네요,배송이 엄청 빠르네요,[]
4,SK하이닉스공식대리점 도우,ikb0****,2023-05-25,모양이 풍뎅이 모양이라 마음에 들어요,모양이 풍뎅이 모양이라 마음에 들어요,['https://phinf.pstatic.net/checkout/20230525_97/1685016134607SSbP7_JPEG/1685015647619.jpg']
5,SK하이닉스공식대리점 도우,cosm****,2023-05-25,배송이 빠릅니다 감사합니다,배송이 빠릅니다 감사합니다,['https://phinf.pstatic.net/checkout/20230525_141/1684999635617UXSQv_JPEG/20230523_110052.jpg']
5,SK하이닉스공식대리점 도우,long****,2023-05-24,작지만 강한 성능과 디자인도 마음에 들고 좋아요~박스에 있는 풍뎅이 디자인을 스티커로 하나 넣어서 윗면에 붙일 수 있게 했더라면 더 이쁘지 않을까 하는 생각 해봤네요...,"작지만 강한 성능과 디자인도 마음에 들고 좋아요~
박스에 있는 풍뎅이 디자인을 스티커로 하나 넣어서 윗면에 붙일 수 있게 했더라면 더 이쁘지 않을까 하는 생각 해봤네요...",[]
5,SK하이닉스공식대리점 도우,kyjk****,2023-05-24,확실히 갓성비 오지고 지리고 레릿고잃어먹지만 않는다면 이만한 외장은 못찾을듯요,"확실히 갓성비 오지고 지리고 레릿고
잃어먹지만 않는다면 이만한 외장은 못찾을듯요",[]
5,SK하이닉스공식대리점 도우,whdt****,2023-05-24,안그래도 하나 사려고 고민중이었는데 잇섭님 믿고 갑니다,안그래도 하나 사려고 고민중이었는데 잇섭님 믿고 갑니다,['https://phinf.pstatic.net/checkout/20230524_295/1684936915762gGdX8_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,grea****,2023-05-24,디자인이 심플하고 발열이 생긱보다 적어서만족합니다,"디자인이 심플하고 발열이 생긱보다 적어서
만족합니다",[]
5,SK하이닉스공식대리점 도우,psyd****,2023-05-24,빠른배송 꼼꼼한 포장 좋아요 번창하세요,빠른배송 꼼꼼한 포장 좋아요 번창하세요,[]
5,SK하이닉스공식대리점 도우,ytoo****,2023-05-24,상세페이지와 같고 아주 잘 작동합니다.,상세페이지와 같고 아주 잘 작동합니다.,[]
5,SK하이닉스공식대리점 도우,taka****,2023-05-24,일단 빠르고 작아서 휴대하기도 좋아요!,일단 빠르고 작아서 휴대하기도 좋아요!,[]
5,SK하이닉스공식대리점 도우,fine****,2023-05-24,외장하드에 비해작고 빨라서 좋네요,"외장하드에 비해
작고 빨라서 좋네요",[]
5,SK하이닉스공식대리점 도우,ghso****,2023-05-24,참 좋네요. 오래쓰겠너요,참 좋네요. 오래쓰겠너요,[]
5,SK하이닉스공식대리점 도우,mmr7****,2023-05-24,빠른 배송 감사했습니다.,빠른 배송 감사했습니다.,[]
5,SK하이닉스공식대리점 도우,roma****,2023-05-24,완전 쬬맨한게~이쁘네요~만족만족~성능체크 해봅니다~,완전 쬬맨한게~이쁘네요~만족만족~성능체크 해봅니다~,"['https://phinf.pstatic.net/checkout/20230524_244/1684891533114EFY8e_JPEG/IMG_4480.jpeg', 'https://phinf.pstatic.net/checkout/20230524_22/1684891534262HOajW_JPEG/IMG_4481.jpeg']"
4,SK하이닉스공식대리점 도우,geni****,2023-05-24,콤펙트하고 좋습니다.구성품도 훌륭합니다.사용해보고 한달 후기 올리겠습니다.,"콤펙트하고 좋습니다.
구성품도 훌륭합니다.
사용해보고 한달 후기 올리겠습니다.",['https://phinf.pstatic.net/checkout/20230524_256/1684890328395okxIP_JPEG/KakaoTalk_20230524_100411419.jpg']
5,SK하이닉스공식대리점 도우,yjh7****,2023-05-24,디자인도 만족하고 속도도 만족합니다,디자인도 만족하고 속도도 만족합니다,['https://phinf.pstatic.net/checkout/20230524_100/1684910357854HNIm7_JPEG/1684910341255.jpg']
5,SK하이닉스공식대리점 도우,cad0****,2023-05-24,빠른배송 감사합니다.받자마자 바로 사용하는데 디자인이나 크기나 너무 만족합니다.좋은제품 추천합니다.,"빠른배송 감사합니다.
받자마자 바로 사용하는데 디자인이나 크기나 너무 만족합니다.
좋은제품 추천합니다.","['https://phinf.pstatic.net/checkout/20230524_10/1684891009572aG9KB_JPEG/1684890997018.jpg', 'https://phinf.pstatic.net/checkout/20230524_37/16848910248695m7cq_JPEG/1684891015161.jpg']"
5,SK하이닉스공식대리점 도우,dbsw****,2023-05-23,"디자인 좋고, 크기도 콤팩트하고 속도도 빠르네요","디자인 좋고, 크기도 콤팩트하고 속도도 빠르네요",[]
5,SK하이닉스공식대리점 도우,kaos****,2023-05-23,굿이에요 속도빠르고 아담하고 귀엽슴돠 ㅎ,굿이에요 속도빠르고 아담하고 귀엽슴돠 ㅎ,"['https://phinf.pstatic.net/checkout/20230523_94/16848292985941LRVM_JPEG/20230523_124528.jpg', 'https://phinf.pstatic.net/checkout/20230523_156/1684829307995h0TSO_JPEG/20230523_124634.jpg']"
5,SK하이닉스공식대리점 도우,kimj****,2023-05-23,좋아요 크기도 작고 귀엽게 생겼어요,좋아요 크기도 작고 귀엽게 생겼어요,[]
5,SK하이닉스공식대리점 도우,chon****,2023-05-23,속도 빠르고 일정하고 좋아요,속도 빠르고 일정하고 좋아요,['https://phinf.pstatic.net/checkout/20230523_139/16848396659110sjwG_JPEG/20230523_195802.jpg']
5,SK하이닉스공식대리점 도우,hoth****,2023-05-23,잘받았습니다! 작고 이쁘네요 미끄럽긴합니다,잘받았습니다! 작고 이쁘네요 미끄럽긴합니다,['https://phinf.pstatic.net/checkout/20230523_217/1684836752755FicKt_JPEG/571986B4-DDDA-431C-BD85-E55D0A72F099.jpeg']
5,SK하이닉스공식대리점 도우,hors****,2023-05-23,처음 사용하는건데 사용하기도 편하고 속도도 빨라서 너무너무 만족합니다~~~,처음 사용하는건데 사용하기도 편하고 속도도 빨라서 너무너무 만족합니다~~~,[]
5,SK하이닉스공식대리점 도우,saib****,2023-05-23,배송빠르고 작고 좋네요 감사합니다,배송빠르고 작고 좋네요 감사합니다,['https://phinf.pstatic.net/checkout/20230523_236/16848454584359PRpi_JPEG/IMG_5770.jpeg']
5,SK하이닉스공식대리점 도우,suki****,2023-05-23,속도도 만족스럽고 가격도 만족스럽습니다,속도도 만족스럽고 가격도 만족스럽습니다,[]
4,SK하이닉스공식대리점 도우,happ****,2023-05-22,신품 디자인도 예쁘고 전송 속도도 적당하고 가볍고 예쁜데 케이블과 같이 휴대할 캐이스는 별도 구입해야해서 아쉽네요… 완충역할해주는 외장하드 젤캐이스는 센스 있고 좋아요,신품 디자인도 예쁘고 전송 속도도 적당하고 가볍고 예쁜데 케이블과 같이 휴대할 캐이스는 별도 구입해야해서 아쉽네요… 완충역할해주는 외장하드 젤캐이스는 센스 있고 좋아요~,"['https://phinf.pstatic.net/checkout/20230522_110/1684719937885CA1i4_JPEG/IMG_7178.jpeg', 'https://phinf.pstatic.net/checkout/20230522_280/1684719938653brl1y_JPEG/IMG_7177.jpeg']"
4,SK하이닉스공식대리점 도우,seas****,2023-05-22,크기 작고 가볍고 속도도 빠릅니다. 단! 대용량 데이터 이동시 발열이 아쉬워요. 선풍기나 다른걸로 발열만 잡아주면 가성비 최고일껍니다.,크기 작고 가볍고 속도도 빠릅니다. 단! 대용량 데이터 이동시 발열이 아쉬워요. 선풍기나 다른걸로 발열만 잡아주면 가성비 최고일껍니다.,['https://phinf.pstatic.net/checkout/20230522_154/1684738718028bN9iN_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,k811****,2023-05-22,마침 SSD가 필요했는데 잇섭 리뷰를 보고 구매손안에 쏙들어가는 사이즈에 속도등 모두 만족,"마침 SSD가 필요했는데 잇섭 리뷰를 보고 구매
손안에 쏙들어가는 사이즈에 속도등 모두 만족",[]
5,SK하이닉스공식대리점 도우,so_j****,2023-05-22,성능 좋은 SK SSD 외장하드를 합리적인 가격에 사서 좋네요!,성능 좋은 SK SSD 외장하드를 합리적인 가격에 사서 좋네요!,[]
5,SK하이닉스공식대리점 도우,bahw****,2023-05-22,좋아요 작고 이쁘네요 속도도 잘 나옵니다,좋아요 작고 이쁘네요 속도도 잘 나옵니다,['https://phinf.pstatic.net/checkout/20230522_146/1684730353253yS88y_JPEG/20230522_082940.jpg']
5,SK하이닉스공식대리점 도우,win0****,2023-05-22,예뻐서 좋습니다. 잘쓸게요,예뻐서 좋습니다. 잘쓸게요,[]
5,SK하이닉스공식대리점 도우,adon****,2023-05-22,배송이 빠르고 좋습니다,배송이 빠르고 좋습니다,[]
5,SK하이닉스공식대리점 도우,bell****,2023-05-22,엄청작아요 만족합니다,엄청작아요 만족합니다,['https://phinf.pstatic.net/checkout/20230522_234/1684723413618zPyAl_JPEG/1684723326738.jpg']
5,SK하이닉스공식대리점 도우,ian0****,2023-05-22,빠르고 정말 좋아요 생긴거도 정말 작고 이뻐요,빠르고 정말 좋아요 생긴거도 정말 작고 이뻐요,[]
5,SK하이닉스공식대리점 도우,0211****,2023-05-22,와 ㄹㅇ 빠르네요.. 13만원 진짜 아깝지 않습니다,와 ㄹㅇ 빠르네요.. 13만원 진짜 아깝지 않습니다,[]
